,product_id,product_lvl1_cat_desc,product_lvl2_cat_desc
295,117472,Alcohol,Wine
296,119007,Alcohol,Wine
297,122311,Alcohol,Wine
298,125740,Alcohol,Wine
299,125742,Alcohol,Wine
300,129919,Alcohol,Wine
301,130246,Alcohol,Wine
302,130249,Alcohol,Wine
303,138420,Alcohol,Wine
304,138496,Alcohol,Wine
305,141700,Alcohol,Wine
306,143318,Alcohol,Wine
307,143319,Alcohol,Wine
308,143321,Alcohol,Wine
309,143323,Alcohol,Wine
310,145139,Alcohol,Wine
311,145140,Alcohol,Wine
312,145160,Alcohol,Wine
313,154495,Alcohol,Wine
314,154551,Alcohol,Wine
315,154566,Alcohol,Wine
316,154609,Alcohol,Wine
317,157731,Alcohol,Wine
318,157751,Alcohol,Wine
319,159052,Alcohol,Wine
320,162823,Alcohol,Wine
321,167810,Alcohol,Wine
322,167811,Alcohol,Wine
323,167812,Alcohol,Wine
324,167813,Alcohol,Wine
325,167817,Alcohol,Wine
326,167818,Alcohol,Wine
327,169656,Alcohol,Wine
328,170387,Alcohol,Wine
329,171018,Alcohol,Wine
330,177320,Alcohol,Wine
331,187587,Alcohol,Wine
332,188527,Alcohol,Wine
333,188530,Alcohol,Wine
334,188783,Alcohol,Wine
335,190359,Alcohol,Wine
336,191070,Alcohol,Wine
337,200335,Alcohol,Wine
338,200344,Alcohol,Wine
339,202783,Alcohol,Wine
340,209657,Alcohol,Wine
341,736,BabyAndChild,BabyFood
342,1241,BabyAndChild,BabyFood
343,1268,BabyAndChild,BabyFood
344,1312,BabyAndChild,BabyFood
345,2862,BabyAndChild,BabyFood
346,3087,BabyAndChild,BabyFood
347,4231,BabyAndChild,BabyFood
348,4746,BabyAndChild,BabyFood
349,5144,BabyAndChild,BabyFood
350,5406,BabyAndChild,BabyFood
351,5425,BabyAndChild,BabyFood
352,6308,BabyAndChild,BabyFood
353,6972,BabyAndChild,BabyFood
354,7958,BabyAndChild,BabyFood
355,8173,BabyAndChild,BabyFood
356,9564,BabyAndChild,BabyFood
357,11388,BabyAndChild,BabyFood
358,11879,BabyAndChild,BabyFood
359,12742,BabyAndChild,BabyFood
360,13365,BabyAndChild,BabyFood
361,14049,BabyAndChild,BabyFood
362,17448,BabyAndChild,BabyFood
363,17647,BabyAndChild,BabyFood
364,17965,BabyAndChild,BabyFood
365,18085,BabyAndChild,BabyFood
366,18438,BabyAndChild,BabyFood
367,18545,BabyAndChild,BabyFood
368,18564,BabyAndChild,BabyFood
369,19460,BabyAndChild,BabyFood
370,20072,BabyAndChild,BabyFood
371,20694,BabyAndChild,BabyFood
372,21538,BabyAndChild,BabyFood
373,21775,BabyAndChild,BabyFood
374,23043,BabyAndChild,BabyFood
375,24236,BabyAndChild,BabyFood
376,24921,BabyAndChild,BabyFood
377,25598,BabyAndChild,BabyFood
378,26285,BabyAndChild,BabyFood
379,27168,BabyAndChild,BabyFood
380,28713,BabyAndChild,BabyFood
381,30510,BabyAndChild,BabyFood
382,32399,BabyAndChild,BabyFood
383,34290,BabyAndChild,BabyFood
384,34901,BabyAndChild,BabyFood
385,36020,BabyAndChild,BabyFood
386,36508,BabyAndChild,BabyFood
387,36597,BabyAndChild,BabyFood
388,36670,BabyAndChild,BabyFood
389,38225,BabyAndChild,BabyFood
390,39609,BabyAndChild,BabyFood
391,40045,BabyAndChild,BabyFood
392,42145,BabyAndChild,BabyFood
393,42259,BabyAndChild,BabyFood
394,42833,BabyAndChild,BabyFood
395,43509,BabyAndChild,BabyFood
396,43828,BabyAndChild,BabyFood
397,45217,BabyAndChild,BabyFood
398,47929,BabyAndChild,BabyFood
399,47946,BabyAndChild,BabyFood
400,48610,BabyAndChild,BabyFood
401,48922,BabyAndChild,BabyFood
402,49190,BabyAndChild,BabyFood
403,50526,BabyAndChild,BabyFood
404,51354,BabyAndChild,BabyFood
405,52160,BabyAndChild,BabyFood
406,52728,BabyAndChild,BabyFood
407,53381,BabyAndChild,BabyFood
408,55029,BabyAndChild,BabyFood
409,56274,BabyAndChild,BabyFood
410,62630,BabyAndChild,BabyFood
411,64271,BabyAndChild,BabyFood
412,65201,BabyAndChild,BabyFood
413,66234,BabyAndChild,BabyFood
414,68272,BabyAndChild,BabyFood
415,73464,BabyAndChild,BabyFood
416,74136,BabyAndChild,BabyFood
417,74264,BabyAndChild,BabyFood
418,74431,BabyAndChild,BabyFood
419,74930,BabyAndChild,BabyFood
420,75020,BabyAndChild,BabyFood
421,75030,BabyAndChild,BabyFood
422,81142,BabyAndChild,BabyFood
423,84819,BabyAndChild,BabyFood
424,86630,BabyAndChild,BabyFood
425,88711,BabyAndChild,BabyFood
426,91255,BabyAndChild,BabyFood
427,92713,BabyAndChild,BabyFood
428,94419,BabyAndChild,BabyFood
429,96138,BabyAndChild,BabyFood
430,98568,BabyAndChild,BabyFood
431,106387,BabyAndChild,BabyFood
432,112635,BabyAndChild,BabyFood
433,113657,BabyAndChild,BabyFood
434,114649,BabyAndChild,BabyFood
435,114650,BabyAndChild,BabyFood
436,114651,BabyAndChild,BabyFood
437,119068,BabyAndChild,BabyFood
438,119069,BabyAndChild,BabyFood
439,119070,BabyAndChild,BabyFood
440,129900,BabyAndChild,BabyFood
441,129901,BabyAndChild,BabyFood
442,129903,BabyAndChild,BabyFood
